,DATE,MARKET,CONVERSIONS
108,2020-04-18T00:00:00.000,AU,16
109,2020-04-19T00:00:00.000,AU,30
110,2020-04-20T00:00:00.000,AU,85
111,2020-04-21T00:00:00.000,AU,32
112,2020-04-22T00:00:00.000,AU,12
113,2020-04-23T00:00:00.000,AU,20
114,2020-04-24T00:00:00.000,AU,98
115,2020-04-25T00:00:00.000,AU,94
116,2020-04-26T00:00:00.000,AU,62
117,2020-04-27T00:00:00.000,AU,76
118,2020-04-28T00:00:00.000,AU,4
119,2020-04-29T00:00:00.000,AU,9
120,2020-04-30T00:00:00.000,AU,81
121,2020-05-01T00:00:00.000,AU,68
122,2020-05-02T00:00:00.000,AU,54
123,2020-05-03T00:00:00.000,AU,75
124,2020-05-04T00:00:00.000,AU,30
125,2020-05-05T00:00:00.000,AU,11
126,2020-05-06T00:00:00.000,AU,54
127,2020-05-07T00:00:00.000,AU,93
128,2020-05-08T00:00:00.000,AU,97
129,2020-05-09T00:00:00.000,AU,61
130,2020-05-10T00:00:00.000,AU,90
131,2020-05-11T00:00:00.000,AU,92
132,2020-05-12T00:00:00.000,AU,28
133,2020-05-13T00:00:00.000,AU,30
134,2020-05-14T00:00:00.000,AU,25
135,2020-05-15T00:00:00.000,AU,84
136,2020-05-16T00:00:00.000,AU,4
137,2020-05-17T00:00:00.000,AU,99
138,2020-05-18T00:00:00.000,AU,57
139,2020-05-19T00:00:00.000,AU,12
140,2020-05-20T00:00:00.000,AU,29
141,2020-05-21T00:00:00.000,AU,30
142,2020-05-22T00:00:00.000,AU,11
143,2020-05-23T00:00:00.000,AU,78
144,2020-05-24T00:00:00.000,AU,78
145,2020-05-25T00:00:00.000,AU,7
146,2020-05-26T00:00:00.000,AU,83
147,2020-05-27T00:00:00.000,AU,62
148,2020-05-28T00:00:00.000,AU,73
149,2020-05-29T00:00:00.000,AU,41
150,2020-05-30T00:00:00.000,AU,93
151,2020-05-31T00:00:00.000,AU,80
152,2020-06-01T00:00:00.000,AU,14
153,2020-06-02T00:00:00.000,AU,80
154,2020-06-03T00:00:00.000,AU,27
155,2020-06-04T00:00:00.000,AU,50
156,2020-06-05T00:00:00.000,AU,89
157,2020-06-06T00:00:00.000,AU,96
158,2020-06-07T00:00:00.000,AU,93
159,2020-06-08T00:00:00.000,AU,5
160,2020-06-09T00:00:00.000,AU,25
161,2020-06-10T00:00:00.000,AU,19
162,2020-06-11T00:00:00.000,AU,91
163,2020-06-12T00:00:00.000,AU,0
164,2020-06-13T00:00:00.000,AU,94
165,2020-06-14T00:00:00.000,AU,4
166,2020-06-15T00:00:00.000,AU,10
167,2020-06-16T00:00:00.000,AU,36
168,2020-06-17T00:00:00.000,AU,1
169,2020-06-18T00:00:00.000,AU,39
170,2020-06-19T00:00:00.000,AU,10
171,2020-06-20T00:00:00.000,AU,6
172,2020-06-21T00:00:00.000,AU,90
173,2020-06-22T00:00:00.000,AU,66
174,2020-06-23T00:00:00.000,AU,12
175,2020-06-24T00:00:00.000,AU,10
176,2020-06-25T00:00:00.000,AU,25
177,2020-06-26T00:00:00.000,AU,10
178,2020-06-27T00:00:00.000,AU,49
179,2020-06-28T00:00:00.000,AU,82
180,2020-06-29T00:00:00.000,AU,68
181,2020-06-30T00:00:00.000,AU,10
182,2020-07-01T00:00:00.000,AU,49
183,2020-07-02T00:00:00.000,AU,21
184,2020-07-03T00:00:00.000,AU,19
185,2020-07-04T00:00:00.000,AU,15
186,2020-07-05T00:00:00.000,AU,50
187,2020-07-06T00:00:00.000,AU,67
188,2020-07-07T00:00:00.000,AU,11
189,2020-07-08T00:00:00.000,AU,58
190,2020-07-09T00:00:00.000,AU,22
191,2020-07-10T00:00:00.000,AU,44
192,2020-07-11T00:00:00.000,AU,92
193,2020-07-12T00:00:00.000,AU,40
194,2020-07-13T00:00:00.000,AU,71
195,2020-07-14T00:00:00.000,AU,65
196,2020-07-15T00:00:00.000,AU,13
197,2020-07-16T00:00:00.000,AU,26
198,2020-07-17T00:00:00.000,AU,65
199,2020-07-18T00:00:00.000,AU,74
200,2020-07-19T00:00:00.000,AU,4
201,2020-07-20T00:00:00.000,AU,16
202,2020-07-21T00:00:00.000,AU,58
203,2020-07-22T00:00:00.000,AU,62
204,2020-07-23T00:00:00.000,AU,80
205,2020-07-24T00:00:00.000,AU,87
206,2020-07-25T00:00:00.000,AU,62
207,2020-07-26T00:00:00.000,AU,21
208,2020-07-27T00:00:00.000,AU,92
209,2020-07-28T00:00:00.000,AU,62
210,2020-07-29T00:00:00.000,AU,87
211,2020-07-30T00:00:00.000,AU,5
212,2020-07-31T00:00:00.000,AU,95
213,2020-08-01T00:00:00.000,AU,56
214,2020-08-02T00:00:00.000,AU,81
215,2020-08-03T00:00:00.000,AU,32
216,2020-08-04T00:00:00.000,AU,79
217,2020-08-05T00:00:00.000,AU,82
218,2020-08-06T00:00:00.000,AU,18
219,2020-08-07T00:00:00.000,AU,4
220,2020-08-08T00:00:00.000,AU,49
221,2020-08-09T00:00:00.000,AU,99
222,2020-08-10T00:00:00.000,AU,24
223,2020-08-11T00:00:00.000,AU,67
224,2020-08-12T00:00:00.000,AU,41
225,2020-08-13T00:00:00.000,AU,75
226,2020-08-14T00:00:00.000,AU,22
227,2020-08-15T00:00:00.000,AU,60
228,2020-08-16T00:00:00.000,AU,13
229,2020-08-17T00:00:00.000,AU,17
230,2020-08-18T00:00:00.000,AU,64
231,2020-08-19T00:00:00.000,AU,10
232,2020-08-20T00:00:00.000,AU,52
233,2020-08-21T00:00:00.000,AU,80
234,2020-08-22T00:00:00.000,AU,27
235,2020-08-23T00:00:00.000,AU,38
236,2020-08-24T00:00:00.000,AU,72
237,2020-08-25T00:00:00.000,AU,66
238,2020-08-26T00:00:00.000,AU,44
239,2020-08-27T00:00:00.000,AU,75
240,2020-08-28T00:00:00.000,AU,48
241,2020-08-29T00:00:00.000,AU,95
242,2020-08-30T00:00:00.000,AU,17
243,2020-08-31T00:00:00.000,AU,55
244,2020-09-01T00:00:00.000,AU,63
245,2020-09-02T00:00:00.000,AU,52
246,2020-09-03T00:00:00.000,AU,58
247,2020-09-04T00:00:00.000,AU,18
248,2020-09-05T00:00:00.000,AU,42
249,2020-09-06T00:00:00.000,AU,74
250,2020-09-07T00:00:00.000,AU,80
251,2020-09-08T00:00:00.000,AU,41
252,2020-09-09T00:00:00.000,AU,5
253,2020-09-10T00:00:00.000,AU,99
254,2020-09-11T00:00:00.000,AU,58
255,2020-09-12T00:00:00.000,AU,15
256,2020-09-13T00:00:00.000,AU,10
257,2020-09-14T00:00:00.000,AU,57
258,2020-09-15T00:00:00.000,AU,8
259,2020-09-16T00:00:00.000,AU,1
260,2020-09-17T00:00:00.000,AU,27
261,2020-09-18T00:00:00.000,AU,53
262,2020-09-19T00:00:00.000,AU,6
263,2020-09-20T00:00:00.000,AU,51
264,2020-09-21T00:00:00.000,AU,28
265,2020-09-22T00:00:00.000,AU,13
266,2020-09-23T00:00:00.000,AU,41
267,2020-09-24T00:00:00.000,AU,20
268,2020-09-25T00:00:00.000,AU,87
269,2020-09-26T00:00:00.000,AU,14
270,2020-09-27T00:00:00.000,AU,32
271,2020-09-28T00:00:00.000,AU,64
272,2020-09-29T00:00:00.000,AU,9
273,2020-09-30T00:00:00.000,AU,83
274,2020-10-01T00:00:00.000,AU,21
275,2020-10-02T00:00:00.000,AU,24
276,2020-10-03T00:00:00.000,AU,78
277,2020-10-04T00:00:00.000,AU,42
278,2020-10-05T00:00:00.000,AU,78
279,2020-10-06T00:00:00.000,AU,41
280,2020-10-07T00:00:00.000,AU,82
281,2020-10-08T00:00:00.000,AU,54
282,2020-10-09T00:00:00.000,AU,46
283,2020-10-10T00:00:00.000,AU,79
284,2020-10-11T00:00:00.000,AU,16
285,2020-10-12T00:00:00.000,AU,34
286,2020-10-13T00:00:00.000,AU,94
287,2020-10-14T00:00:00.000,AU,37
288,2020-10-15T00:00:00.000,AU,89
289,2020-10-16T00:00:00.000,AU,75
290,2020-10-17T00:00:00.000,AU,87
291,2020-10-18T00:00:00.000,AU,72
292,2020-10-19T00:00:00.000,AU,13
293,2020-10-20T00:00:00.000,AU,35
294,2020-10-21T00:00:00.000,AU,54
295,2020-10-22T00:00:00.000,AU,12
296,2020-10-23T00:00:00.000,AU,6
297,2020-10-24T00:00:00.000,AU,63
298,2020-10-25T00:00:00.000,AU,66
299,2020-10-26T00:00:00.000,AU,7
300,2020-10-27T00:00:00.000,AU,82
301,2020-10-28T00:00:00.000,AU,39
302,2020-10-29T00:00:00.000,AU,15
303,2020-10-30T00:00:00.000,AU,1
304,2020-10-31T00:00:00.000,AU,44
305,2020-11-01T00:00:00.000,AU,53
306,2020-11-02T00:00:00.000,AU,93
307,2020-11-03T00:00:00.000,AU,2
308,2020-11-04T00:00:00.000,AU,20
309,2020-11-05T00:00:00.000,AU,52
310,2020-11-06T00:00:00.000,AU,39
311,2020-11-07T00:00:00.000,AU,79
312,2020-11-08T00:00:00.000,AU,90
313,2020-11-09T00:00:00.000,AU,14
314,2020-11-10T00:00:00.000,AU,57
315,2020-11-11T00:00:00.000,AU,84
316,2020-11-12T00:00:00.000,AU,39
317,2020-11-13T00:00:00.000,AU,15
318,2020-11-14T00:00:00.000,AU,29
319,2020-11-15T00:00:00.000,AU,60
320,2020-11-16T00:00:00.000,AU,71
321,2020-11-17T00:00:00.000,AU,92
322,2020-11-18T00:00:00.000,AU,37
323,2020-11-19T00:00:00.000,AU,50
324,2020-11-20T00:00:00.000,AU,80
325,2020-11-21T00:00:00.000,AU,98
326,2020-11-22T00:00:00.000,AU,17
327,2020-11-23T00:00:00.000,AU,59
328,2020-11-24T00:00:00.000,AU,34
329,2020-11-25T00:00:00.000,AU,6
330,2020-11-26T00:00:00.000,AU,15
331,2020-11-27T00:00:00.000,AU,45
332,2020-11-28T00:00:00.000,AU,29
333,2020-11-29T00:00:00.000,AU,43
334,2020-11-30T00:00:00.000,AU,92
335,2020-12-01T00:00:00.000,AU,73
336,2020-12-02T00:00:00.000,AU,93
337,2020-12-03T00:00:00.000,AU,60
338,2020-12-04T00:00:00.000,AU,70
339,2020-12-05T00:00:00.000,AU,93
340,2020-12-06T00:00:00.000,AU,25
341,2020-12-07T00:00:00.000,AU,76
342,2020-12-08T00:00:00.000,AU,26
343,2020-12-09T00:00:00.000,AU,4
344,2020-12-10T00:00:00.000,AU,32
345,2020-12-11T00:00:00.000,AU,79
346,2020-12-12T00:00:00.000,AU,65
347,2020-12-13T00:00:00.000,AU,92
348,2020-12-14T00:00:00.000,AU,11
349,2020-12-15T00:00:00.000,AU,0
350,2020-12-16T00:00:00.000,AU,84
351,2020-12-17T00:00:00.000,AU,45
352,2020-12-18T00:00:00.000,AU,44
353,2020-12-19T00:00:00.000,AU,70
354,2020-12-20T00:00:00.000,AU,30
355,2020-12-21T00:00:00.000,AU,16
356,2020-12-22T00:00:00.000,AU,48
357,2020-12-23T00:00:00.000,AU,51
358,2020-12-24T00:00:00.000,AU,99
359,2020-12-25T00:00:00.000,AU,11
360,2020-12-26T00:00:00.000,AU,3
361,2020-12-27T00:00:00.000,AU,80
362,2020-12-28T00:00:00.000,AU,62
363,2020-12-29T00:00:00.000,AU,18
364,2020-12-30T00:00:00.000,AU,37
365,2020-12-31T00:00:00.000,AU,10
366,2021-01-01T00:00:00.000,AU,53
367,2021-01-02T00:00:00.000,AU,17
368,2021-01-03T00:00:00.000,AU,59
369,2021-01-04T00:00:00.000,AU,5
370,2021-01-05T00:00:00.000,AU,90
371,2021-01-06T00:00:00.000,AU,95
372,2021-01-07T00:00:00.000,AU,10
373,2021-01-08T00:00:00.000,AU,23
374,2021-01-09T00:00:00.000,AU,37
375,2021-01-10T00:00:00.000,AU,62
376,2021-01-11T00:00:00.000,AU,23
377,2021-01-12T00:00:00.000,AU,2
378,2021-01-13T00:00:00.000,AU,2
379,2021-01-14T00:00:00.000,AU,60
380,2021-01-15T00:00:00.000,AU,9
381,2021-01-16T00:00:00.000,AU,28
382,2021-01-17T00:00:00.000,AU,60
383,2021-01-18T00:00:00.000,AU,64
384,2021-01-19T00:00:00.000,AU,46
385,2021-01-20T00:00:00.000,AU,9
386,2021-01-21T00:00:00.000,AU,23
387,2021-01-22T00:00:00.000,AU,37
388,2021-01-23T00:00:00.000,AU,96
389,2021-01-24T00:00:00.000,AU,46
390,2021-01-25T00:00:00.000,AU,2
391,2021-01-26T00:00:00.000,AU,51
392,2021-01-27T00:00:00.000,AU,54
393,2021-01-28T00:00:00.000,AU,91
394,2021-01-29T00:00:00.000,AU,43
395,2021-01-30T00:00:00.000,AU,23
396,2021-01-31T00:00:00.000,AU,12
397,2021-02-01T00:00:00.000,AU,65
398,2021-02-02T00:00:00.000,AU,44
399,2021-02-03T00:00:00.000,AU,69
400,2021-02-04T00:00:00.000,AU,45
401,2021-02-05T00:00:00.000,AU,69
402,2021-02-06T00:00:00.000,AU,24
403,2021-02-07T00:00:00.000,AU,83
404,2021-02-08T00:00:00.000,AU,99
405,2021-02-09T00:00:00.000,AU,46
406,2021-02-10T00:00:00.000,AU,94
407,2021-02-11T00:00:00.000,AU,87
408,2021-02-12T00:00:00.000,AU,58
409,2021-02-13T00:00:00.000,AU,17
410,2021-02-14T00:00:00.000,AU,20
411,2021-02-15T00:00:00.000,AU,87
412,2021-02-16T00:00:00.000,AU,77
413,2021-02-17T00:00:00.000,AU,27
414,2021-02-18T00:00:00.000,AU,37
415,2021-02-19T00:00:00.000,AU,58
416,2021-02-20T00:00:00.000,AU,93
417,2021-02-21T00:00:00.000,AU,1
418,2021-02-22T00:00:00.000,AU,10
419,2021-02-23T00:00:00.000,AU,56
420,2021-02-24T00:00:00.000,AU,82
421,2021-02-25T00:00:00.000,AU,47
422,2021-02-26T00:00:00.000,AU,20
423,2021-02-27T00:00:00.000,AU,58
424,2021-02-28T00:00:00.000,AU,80
425,2021-03-01T00:00:00.000,AU,8
426,2021-03-02T00:00:00.000,AU,79
427,2021-03-03T00:00:00.000,AU,7
428,2021-03-04T00:00:00.000,AU,69
429,2021-03-05T00:00:00.000,AU,60
430,2021-03-06T00:00:00.000,AU,74
431,2021-03-07T00:00:00.000,AU,31
432,2021-03-08T00:00:00.000,AU,95
433,2021-03-09T00:00:00.000,AU,39
434,2021-03-10T00:00:00.000,AU,70
435,2021-03-11T00:00:00.000,AU,45
436,2021-03-12T00:00:00.000,AU,22
437,2021-03-13T00:00:00.000,AU,56
438,2021-03-14T00:00:00.000,AU,43
439,2021-03-15T00:00:00.000,AU,82
440,2021-03-16T00:00:00.000,AU,35
441,2021-03-17T00:00:00.000,AU,9
442,2021-03-18T00:00:00.000,AU,65
443,2021-03-19T00:00:00.000,AU,10
444,2021-03-20T00:00:00.000,AU,4
445,2021-03-21T00:00:00.000,AU,26
446,2021-03-22T00:00:00.000,AU,48
447,2021-03-23T00:00:00.000,AU,69
448,2021-03-24T00:00:00.000,AU,75
449,2021-03-25T00:00:00.000,AU,40
450,2021-03-26T00:00:00.000,AU,23
451,2021-03-27T00:00:00.000,AU,17
452,2021-03-28T00:00:00.000,AU,13
453,2021-03-29T00:00:00.000,AU,22
454,2021-03-30T00:00:00.000,AU,50
455,2021-03-31T00:00:00.000,AU,56
456,2021-04-01T00:00:00.000,AU,30
457,2021-04-02T00:00:00.000,AU,67
458,2021-04-03T00:00:00.000,AU,42
459,2021-04-04T00:00:00.000,AU,10
460,2021-04-05T00:00:00.000,AU,55
461,2021-04-06T00:00:00.000,AU,12
462,2021-04-07T00:00:00.000,AU,18
463,2021-04-08T00:00:00.000,AU,40
464,2021-04-09T00:00:00.000,AU,37
465,2021-04-10T00:00:00.000,AU,14
466,2021-04-11T00:00:00.000,AU,59
467,2021-04-12T00:00:00.000,AU,12
468,2021-04-13T00:00:00.000,AU,88
469,2021-04-14T00:00:00.000,AU,49
470,2021-04-15T00:00:00.000,AU,48
471,2021-04-16T00:00:00.000,AU,74
472,2021-04-17T00:00:00.000,AU,27
473,2021-04-18T00:00:00.000,AU,96
474,2021-04-19T00:00:00.000,AU,7
475,2021-04-20T00:00:00.000,AU,81
476,2021-04-21T00:00:00.000,AU,12
477,2021-04-22T00:00:00.000,AU,60
478,2021-04-23T00:00:00.000,AU,86
479,2021-04-24T00:00:00.000,AU,26
480,2021-04-25T00:00:00.000,AU,66
481,2021-04-26T00:00:00.000,AU,81
482,2021-04-27T00:00:00.000,AU,93
483,2021-04-28T00:00:00.000,AU,51
484,2021-04-29T00:00:00.000,AU,74
485,2021-04-30T00:00:00.000,AU,22
486,2021-05-01T00:00:00.000,AU,88
487,2021-05-02T00:00:00.000,AU,74
488,2021-05-03T00:00:00.000,AU,42
489,2021-05-04T00:00:00.000,AU,61
490,2021-05-05T00:00:00.000,AU,34
491,2021-05-06T00:00:00.000,AU,43
492,2021-05-07T00:00:00.000,AU,68
493,2021-05-08T00:00:00.000,AU,36
494,2021-05-09T00:00:00.000,AU,40
495,2021-05-10T00:00:00.000,AU,3
496,2021-05-11T00:00:00.000,AU,98
497,2021-05-12T00:00:00.000,AU,25
498,2021-05-13T00:00:00.000,AU,71
499,2021-05-14T00:00:00.000,AU,95
500,2021-05-15T00:00:00.000,AU,51
501,2021-05-16T00:00:00.000,AU,9
502,2021-05-17T00:00:00.000,AU,43
503,2021-05-18T00:00:00.000,AU,96
504,2021-05-19T00:00:00.000,AU,45
505,2021-05-20T00:00:00.000,AU,32
506,2021-05-21T00:00:00.000,AU,95
507,2021-05-22T00:00:00.000,AU,93
508,2021-05-23T00:00:00.000,AU,52
509,2021-05-24T00:00:00.000,AU,91
510,2021-05-25T00:00:00.000,AU,37
511,2021-05-26T00:00:00.000,AU,10
512,2021-05-27T00:00:00.000,AU,7
513,2021-05-28T00:00:00.000,AU,46
514,2021-05-29T00:00:00.000,AU,93
515,2021-05-30T00:00:00.000,AU,97
516,2021-05-31T00:00:00.000,AU,19
517,2021-06-01T00:00:00.000,AU,16
518,2021-06-02T00:00:00.000,AU,35
519,2021-06-03T00:00:00.000,AU,28
520,2021-06-04T00:00:00.000,AU,12
521,2021-06-05T00:00:00.000,AU,84
522,2021-06-06T00:00:00.000,AU,73
523,2021-06-07T00:00:00.000,AU,4
524,2021-06-08T00:00:00.000,AU,79
525,2021-06-09T00:00:00.000,AU,86
526,2021-06-10T00:00:00.000,AU,44
527,2021-06-11T00:00:00.000,AU,14
528,2021-06-12T00:00:00.000,AU,12
529,2021-06-13T00:00:00.000,AU,45
530,2021-06-14T00:00:00.000,AU,98
531,2021-06-15T00:00:00.000,AU,73
532,2021-06-16T00:00:00.000,AU,12
533,2021-06-17T00:00:00.000,AU,88
534,2021-06-18T00:00:00.000,AU,47
535,2021-06-19T00:00:00.000,AU,31
536,2021-06-20T00:00:00.000,AU,4
537,2021-06-21T00:00:00.000,AU,83
538,2021-06-22T00:00:00.000,AU,48
539,2021-06-23T00:00:00.000,AU,89
540,2021-06-24T00:00:00.000,AU,59
541,2021-06-25T00:00:00.000,AU,10
542,2021-06-26T00:00:00.000,AU,35
543,2021-06-27T00:00:00.000,AU,59
544,2021-06-28T00:00:00.000,AU,82
545,2021-06-29T00:00:00.000,AU,49
546,2021-06-30T00:00:00.000,AU,24
547,2021-07-01T00:00:00.000,AU,11
548,2021-07-02T00:00:00.000,AU,76
549,2021-07-03T00:00:00.000,AU,19
550,2021-07-04T00:00:00.000,AU,51
551,2021-07-05T00:00:00.000,AU,11
552,2021-07-06T00:00:00.000,AU,42
553,2021-07-07T00:00:00.000,AU,27
554,2021-07-08T00:00:00.000,AU,74
555,2021-07-09T00:00:00.000,AU,34
556,2021-07-10T00:00:00.000,AU,49
557,2021-07-11T00:00:00.000,AU,77
558,2021-07-12T00:00:00.000,AU,93
559,2021-07-13T00:00:00.000,AU,76
560,2021-07-14T00:00:00.000,AU,60
561,2021-07-15T00:00:00.000,AU,36
562,2021-07-16T00:00:00.000,AU,42
563,2021-07-17T00:00:00.000,AU,50
564,2021-07-18T00:00:00.000,AU,19
565,2021-07-19T00:00:00.000,AU,6
566,2021-07-20T00:00:00.000,AU,5
567,2021-07-21T00:00:00.000,AU,28
568,2021-07-22T00:00:00.000,AU,85
569,2021-07-23T00:00:00.000,AU,71
570,2021-07-24T00:00:00.000,AU,57
571,2021-07-25T00:00:00.000,AU,8
572,2021-07-26T00:00:00.000,AU,23
573,2021-07-27T00:00:00.000,AU,58
574,2021-07-28T00:00:00.000,AU,74
575,2021-07-29T00:00:00.000,AU,71
576,2021-07-30T00:00:00.000,AU,9
577,2021-07-31T00:00:00.000,AU,69
578,2021-08-01T00:00:00.000,AU,58
579,2021-08-02T00:00:00.000,AU,93
580,2021-08-03T00:00:00.000,AU,2
581,2021-08-04T00:00:00.000,AU,45
582,2021-08-05T00:00:00.000,AU,45
583,2021-08-06T00:00:00.000,AU,91
584,2021-08-07T00:00:00.000,AU,19
585,2021-08-08T00:00:00.000,AU,75
586,2021-08-09T00:00:00.000,AU,66
587,2021-08-10T00:00:00.000,AU,81
588,2021-08-11T00:00:00.000,AU,98
589,2021-08-12T00:00:00.000,AU,0
590,2021-08-13T00:00:00.000,AU,69
591,2021-08-14T00:00:00.000,AU,76
592,2021-08-15T00:00:00.000,AU,43
593,2021-08-16T00:00:00.000,AU,91
594,2021-08-17T00:00:00.000,AU,64
595,2021-08-18T00:00:00.000,AU,49
596,2021-08-19T00:00:00.000,AU,98
597,2021-08-20T00:00:00.000,AU,70
598,2021-08-21T00:00:00.000,AU,72
599,2021-08-22T00:00:00.000,AU,58
600,2021-08-23T00:00:00.000,AU,77
601,2021-08-24T00:00:00.000,AU,52
602,2021-08-25T00:00:00.000,AU,37
603,2021-08-26T00:00:00.000,AU,80
604,2021-08-27T00:00:00.000,AU,29
605,2021-08-28T00:00:00.000,AU,66
606,2021-08-29T00:00:00.000,AU,52
607,2021-08-30T00:00:00.000,AU,99
608,2021-08-31T00:00:00.000,AU,18
609,2021-09-01T00:00:00.000,AU,96
610,2021-09-02T00:00:00.000,AU,7
611,2021-09-03T00:00:00.000,AU,79
612,2021-09-04T00:00:00.000,AU,84
613,2021-09-05T00:00:00.000,AU,1
614,2021-09-06T00:00:00.000,AU,15
615,2021-09-07T00:00:00.000,AU,10
616,2021-09-08T00:00:00.000,AU,84
617,2021-09-09T00:00:00.000,AU,39
618,2021-09-10T00:00:00.000,AU,75
619,2021-09-11T00:00:00.000,AU,45
620,2021-09-12T00:00:00.000,AU,13
621,2021-09-13T00:00:00.000,AU,48
622,2021-09-14T00:00:00.000,AU,37
623,2021-09-15T00:00:00.000,AU,82
624,2021-09-16T00:00:00.000,AU,19
625,2021-09-17T00:00:00.000,AU,33
626,2021-09-18T00:00:00.000,AU,1
627,2021-09-19T00:00:00.000,AU,38
628,2021-09-20T00:00:00.000,AU,50
629,2021-09-21T00:00:00.000,AU,93
630,2021-09-22T00:00:00.000,AU,89
631,2021-09-23T00:00:00.000,AU,33
632,2021-09-24T00:00:00.000,AU,67
633,2021-09-25T00:00:00.000,AU,75
